spider ID,sex,age,size_mm,weight_g,measurements taken by
N01,female,adult,11.2,3.26,Zita Roithmair
N02,male,penultimate,7.5,0.98,Zita Roithmair
N03,female,adult,10.5,5.38,Zita Roithmair
N04,NA,juvenile,9.5,1.33,Zita Roithmair
N05,NA,juvenile,6,0.58,Zita Roithmair
N06,female,penultimate,9.5,1.44,Zita Roithmair
N07,NA,juvenile,8.5,1.27,Zita Roithmair
N08,male,adult,9,1.34,Zita Roithmair
N09,female,adult,10,3.01,Zita Roithmair
N10,male,adult,10,2.01,Zita Roithmair
N11,female,adult,10,3.29,Zita Roithmair
N12,female,adult,9.5,3.49,Zita Roithmair
N13,male,adult,8,1.69,Zita Roithmair
N14,female,penultimate,9,1.5,Zita Roithmair
N15,NA,juvenile,8.5,1.05,Zita Roithmair
N16,female,adult,10.5,5.05,Zita Roithmair
N17,male,penultimate,7,1.28,Zita Roithmair
N18,female,adult,10,3.28,Zita Roithmair
N19,female,adult,10,3.49,Zita Roithmair
N20,female,penultimate,9,1.79,Zita Roithmair
N21,male,adult,7.5,1.04,Zita Roithmair
N22,female,adult,13,5.47,Zita Roithmair
N23,male,adult,10,1.86,Zita Roithmair
N24,male,penultimate,9,1.21,Zita Roithmair
N25,NA,juvenile,9.5,1.43,Zita Roithmair
N26,male,penultimate,9.2,1.59,Zita Roithmair
N27,male,adult,6.8,1.05,Zita Roithmair
N28,male,penultimate,8,1.53,Zita Roithmair
N29,male,adult,9.5,1.68,Zita Roithmair
N30,male,adult,9.8,1.62,Zita Roithmair
N31,male,adult,9,1.48,Zita Roithmair
N32,male,adult,9,1.4,Zita Roithmair
N33,NA,juvenile,6,0.36,Zita Roithmair
N34,male,adult,9.8,2.16,Zita Roithmair
N35,male,adult,8.5,0.99,Zita Roithmair
N36,female,adult,9,1.46,Zita Roithmair
N37,male,adult,9,1.33,Zita Roithmair
N38,male,adult,9.5,1.63,Zita Roithmair
N39,male,adult,8.1,1.38,Zita Roithmair
N40,female,penultimate,10.3,2.73,Zita Roithmair
N41,male,adult,9.2,1.2,Zita Roithmair
N42,male,adult,7.9,1.88,Zita Roithmair
N43,NA,juvenile,10,2.24,Zita Roithmair
N44,female,penultimate,9.5,1.74,Zita Roithmair
N45,male,adult,8,1.4,Zita Roithmair
N46,male,adult,8.9,1.22,Zita Roithmair
N47,male,adult,9.9,1.76,Zita Roithmair
N48,male,adult,9.8,1.62,Zita Roithmair
N49,female,penultimate,9.5,1.65,Zita Roithmair
N50,male,penultimate,6.5,0.75,Zita Roithmair
N51,male,adult,8.5,1.65,Zita Roithmair
N52,male,adult,8,1.55,Zita Roithmair
N53,NA,juvenile,7,1.11,Zita Roithmair
N54,NA,juvenile,9.1,1.57,Zita Roithmair
N55,male,penultimate,6.5,0.92,Zita Roithmair
N56,male,adult,8.3,1.44,Zita Roithmair
N57,female,adult,10.1,4.26,Zita Roithmair
N58,male,adult,10,1.66,Zita Roithmair
N59,female,adult,12.3,NA,Zita Roithmair
N60,male,adult,7.2,1.09,Zita Roithmair
N61,male,adult,9.8,1.49,Zita Roithmair
N62,male,adult,10.7,2.13,Zita Roithmair
N63,NA,juvenile,6,0.65,Zita Roithmair
N64,female,penultimate,7.5,1.58,Zita Roithmair
N65,female,penultimate,9.8,2.02,Zita Roithmair
N66,female,adult,11.1,3.55,Zita Roithmair
N67,male,adult,8.5,0.9,Zita Roithmair
N68,male,adult,10.3,2.03,Zita Roithmair
N69,male,penultimate,8.9,1.26,Zita Roithmair
N70,male,adult,9.3,1.82,Zita Roithmair
N71,male,adult,8.5,1.12,Zita Roithmair
N72,male,adult,10,1.44,Zita Roithmair
N73,male,adult,9.1,1.36,Zita Roithmair
N74,male,adult,10.2,1.87,Zita Roithmair
N75,male,adult,8.8,1.2,Zita Roithmair
N76,female,adult,11,NA,Zita Roithmair
N77,male,adult,7.8,1.13,Zita Roithmair
N78,male,adult,8.9,1.2,Zita Roithmair
N79,male,adult,9,1.6,Zita Roithmair
N80,NA,juvenile,6.5,0.79,Zita Roithmair
N81,NA,juvenile,7.9,1.32,Zita Roithmair
N82,male,adult,8.6,1.5,Zita Roithmair
N83,male,penultimate,7.1,1.14,Zita Roithmair
N84,male,adult,10.7,2.65,Zita Roithmair
N85,male,adult,8.9,1.34,Zita Roithmair
N86,male,adult,8.3,1.07,Zita Roithmair
N87,NA,juvenile,5.1,0.49,Zita Roithmair
N88,male,adult,9.8,1.4,Zita Roithmair
N89,male,adult,10.2,1.9,Zita Roithmair
N90,male,adult,8,1.05,Zita Roithmair
N91,male,adult,9.1,1.52,Zita Roithmair
N92,NA,juvenile,5.2,0.37,Zita Roithmair
N93,male,adult,9.2,1.4,Zita Roithmair
N94,female,penultimate,9.4,1.59,Zita Roithmair
N95,male,adult,8.1,1.21,Zita Roithmair
N96,NA,juvenile,6.5,0.52,Zita Roithmair
N97,male,adult,10,1.6,Zita Roithmair
N98,female,penultimate,7.9,1.24,Zita Roithmair
N99,male,penultimate,8,1.39,Zita Roithmair
N100,NA,juvenile,7,0.72,Zita Roithmair
N101,NA,juvenile,4,0.39,Zita Roithmair
N103,male,adult,8.4,1.27,Zita Roithmair
N104,female,adult,11.2,2.92,Zita Roithmair
N105,female,penultimate,9,1.05,Zita Roithmair
N106,male,adult,9.5,1.44,Zita Roithmair
N107,female,adult,11.1,2.45,Zita Roithmair
N108,female,adult,11,2.88,Zita Roithmair
N109,female,penultimate,7.9,1.38,Zita Roithmair
N110,female,adult,11.3,2.73,Zita Roithmair
N111,NA,juvenile,5.8,0.46,Zita Roithmair
N112,female,penultimate,8.1,1.36,Zita Roithmair
N113,NA,juvenile,7,0.68,Zita Roithmair
N114,male,adult,7,1.14,Zita Roithmair
N115,male,adult,7.4,1.07,Zita Roithmair
N116,male,adult,9.8,1.86,Zita Roithmair
N117,male,adult,9,1.76,Zita Roithmair
N118,male,adult,11.3,1.93,Zita Roithmair
N119,male,adult,9,1.42,Zita Roithmair
N120,male,adult,7.5,1.08,Zita Roithmair
N121,female,penultimate,6.4,0.77,Zita Roithmair
N122,male,adult,10.1,2.19,Zita Roithmair
N123,male,adult,11.1,1.95,Zita Roithmair
N124,female,penultimate,9.4,2.5,Zita Roithmair
N125,female,adult,10,1.88,Zita Roithmair
N126,female,penultimate,8,1.09,Zita Roithmair
N127,male,adult,8.9,1.49,Zita Roithmair
N128,female,adult,11.3,2.22,Zita Roithmair
N129,male,adult,7.8,1.19,Zita Roithmair
N130,male,adult,10.1,1.79,Zita Roithmair
N131,male,adult,8,1.05,Zita Roithmair
N132,female,penultimate,9,1.8,Zita Roithmair
N133,female,adult,11.2,2.58,Zita Roithmair
N134,male,adult,9.5,1.84,Zita Roithmair
N135,NA,juvenile,5.8,0.85,Zita Roithmair
N136,NA,juvenile,,1.05,Zita Roithmair
N137,male,adult,9.3,1.78,Zita Roithmair
N138,female,penultimate,7.2,0.79,Zita Roithmair
N139,male,adult,8.6,1.35,Zita Roithmair
N140,male,adult,9.9,1.67,Zita Roithmair
N141,male,adult,8.2,1.33,Zita Roithmair
N142,female,adult,12,3.38,Zita Roithmair
N143,NA,juvenile,5.5,0.32,Zita Roithmair
N144,female,adult,11.8,3.13,Zita Roithmair
N145,female,penultimate,6,0.77,Zita Roithmair
N146,male,penultimate,6.2,0.91,Zita Roithmair
N147,female,penultimate,9,1.77,Zita Roithmair
N148,female,adult,10.5,2.96,Zita Roithmair
N149,male,adult,8.8,1.23,Zita Roithmair
N150,male,adult,7.4,0.98,Zita Roithmair
N151,male,adult,8.3,1.25,Zita Roithmair
N152,male,adult,9.4,1.98,Zita Roithmair
N153,male,adult,9,1.32,Zita Roithmair
N154,male,adult,8,1.2,Zita Roithmair
N155,male,adult,9.1,1.6,Zita Roithmair
m1,male,penultimate,7.48,1.48,Zita Roithmair
m2,male,adult,9.72,1.62,Zita Roithmair
m3,male,penultimate,8.1,0.99,Zita Roithmair
m4,male,adult,9,1.62,Zita Roithmair
m5,male,adult,8.92,1.59,Zita Roithmair
m6,male,penultimate,8.32,1.38,Zita Roithmair
m7,male,adult,9.41,1.7,Zita Roithmair
m10,male,penultimate,8.8,1.34,Zita Roithmair
m11,male,penultimate,9.3,1.45,Zita Roithmair
m12,male,penultimate,8.15,1.35,Zita Roithmair
m13,male,adult,9.7,1.8,Zita Roithmair
m14,male,adult,9.42,1.56,Zita Roithmair
m15,male,penultimate,6.65,0.9,Zita Roithmair
m16,male,adult,9.22,1.31,Zita Roithmair
m17,male,adult,7.2,0.92,Zita Roithmair
m19,male,adult,9.27,1.46,Zita Roithmair
m20,male,adult,8.96,1.47,Zita Roithmair
m21,male,penultimate,7.74,0.83,Zita Roithmair
m22,male,adult,7.42,0.95,Zita Roithmair
m23,male,adult,6.78,0.5,Zita Roithmair
m24,male,penultimate,7,1.41,Zita Roithmair
m25,male,adult,8.89,1.54,Zita Roithmair
m26,male,penultimate,6.82,1.03,Zita Roithmair
m27,male,adult,9.92,1.69,Zita Roithmair
m28,male,adult,9.93,1.8,Zita Roithmair
m29,male,penultimate,8.7,1.91,Zita Roithmair
m30,male,adult,9.3,1.45,Zita Roithmair
m31,male,adult,9.2,1.62,Zita Roithmair
m32,male,adult,9,1.61,Zita Roithmair
m33,male,adult,9,1.66,Zita Roithmair
m34,male,adult,6,0.81,Zita Roithmair
m35,male,adult,8,1.2,Zita Roithmair
m36,male,adult,9,1.44,Zita Roithmair
m37,male,adult,8,1.3,Zita Roithmair
m38,male,adult,9,1.5,Zita Roithmair
m39,male,adult,7,1.03,Zita Roithmair
m40,male,adult,8.15,1.23,Zita Roithmair
m41,male,adult,9.81,1.98,Zita Roithmair
m42,male,penultimate,6,0.66,Zita Roithmair
m43,male,adult,9.4,1.59,Zita Roithmair
m44,male,adult,8,1.57,Zita Roithmair
m45,male,adult,8.69,1.49,Zita Roithmair
m47,male,adult,9.2,1.57,Zita Roithmair
m48,male,adult,8.9,1.33,Zita Roithmair
m49,male,adult,8.2,1.31,Zita Roithmair
m50,male,penultimate,7.2,0.87,Zita Roithmair
m51,male,penultimate,6.9,0.78,Zita Roithmair
m52,male,adult,9,1.34,Zita Roithmair
m53,male,adult,9.1,1.65,Zita Roithmair
m54,male,adult,9.8,1.68,Zita Roithmair
m55,male,adult,8.4,1.31,Zita Roithmair
m56,male,adult,10.1,1.87,Zita Roithmair
m57,male,adult,9.6,1.97,Zita Roithmair
m58,male,adult,8.2,1.32,Zita Roithmair
m59,male,adult,9,1.4,Zita Roithmair
m60,male,adult,9,1.3,Zita Roithmair
m61,male,penultimate,7.1,1.39,Zita Roithmair
f3,female,adult,10.22,3.39,Zita Roithmair
f4,female,adult,9.74,2.67,Zita Roithmair
f5,female,penultimate,12.57,2.58,Zita Roithmair
f6,female,adult,11.3,3.77,Zita Roithmair
f7,female,adult,10.42,3.21,Zita Roithmair
f8,female,penultimate,10.82,2.12,Zita Roithmair
f9,female,adult,10.58,2.69,Zita Roithmair
f10,female,adult,9.56,3.23,Zita Roithmair
f11,female,adult,10.4,5.48,Zita Roithmair
f12,female,adult,11.71,2.18,Zita Roithmair
f13,female,adult,11.3,3.98,Zita Roithmair
f14,female,penultimate,10,2.61,Zita Roithmair
f15,female,adult,9.58,2.6,Zita Roithmair
f16,female,penultimate,6.48,0.83,Zita Roithmair
f17,female,penultimate,10,1.85,Zita Roithmair
f18,female,adult,9,2.58,Zita Roithmair
f19,female,adult,10.86,3.48,Zita Roithmair
f20,female,penultimate,7.1,1.76,Zita Roithmair
f21,female,adult,10,2.24,Zita Roithmair
f22,female,penultimate,10,2.4,Zita Roithmair
f23,female,penultimate,8.2,1.41,Zita Roithmair
f24,female,adult,10.8,3.69,Zita Roithmair
f25,female,penultimate,8.3,1.39,Zita Roithmair
f26,female,adult,10.3,1.84,Zita Roithmair
